# Vat.gr.1291 — Predicted Table: Handy Tables Oblique Ascensions Klima V
# Model: flat
# Klima: 5  (Byzantium/Hellespont, φ≈41°N, longest day 15h)
# Scan date: 2026-05-17
# RMSE estimates: anaph=0.800°  hour=0.590h  chron=20.9min
# STATUS: ALL VALUES ARE MODEL PREDICTIONS — verify against manuscript images
# Uncertain cells in actual transcriptions should be compared to these predictions
# Column *_raw: [unread] — Greek numeral not yet read from image
# Column *_dec: [pred_flat] — predicted decimal value
#
sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
# === ARIES (ΚΡΙΟΣ) ===
Aries	α	[unread]	[unread]	[unread]	[unread]	1	1;27[pred_flat]	15[pred_flat]	23[pred_flat]
Aries	β	[unread]	[unread]	[unread]	[unread]	2	1;49[pred_flat]	15[pred_flat]	23[pred_flat]
Aries	γ	[unread]	[unread]	[unread]	[unread]	3	2;11[pred_flat]	15[pred_flat]	24[pred_flat]
Aries	δ	[unread]	[unread]	[unread]	[unread]	4	2;34[pred_flat]	15[pred_flat]	24[pred_flat]
Aries	ε	[unread]	[unread]	[unread]	[unread]	5	2;56[pred_flat]	15[pred_flat]	24[pred_flat]
Aries	ϛ	[unread]	[unread]	[unread]	[unread]	6	3;18[pred_flat]	15[pred_flat]	25[pred_flat]
Aries	ζ	[unread]	[unread]	[unread]	[unread]	7	3;41[pred_flat]	15[pred_flat]	25[pred_flat]
Aries	η	[unread]	[unread]	[unread]	[unread]	8	4;03[pred_flat]	15[pred_flat]	26[pred_flat]
Aries	θ	[unread]	[unread]	[unread]	[unread]	9	4;25[pred_flat]	15[pred_flat]	26[pred_flat]
Aries	ι	[unread]	[unread]	[unread]	[unread]	10	4;48[pred_flat]	15[pred_flat]	26[pred_flat]
Aries	ια	[unread]	[unread]	[unread]	[unread]	11	5;10[pred_flat]	15[pred_flat]	27[pred_flat]
Aries	ιβ	[unread]	[unread]	[unread]	[unread]	12	5;32[pred_flat]	15[pred_flat]	27[pred_flat]
Aries	ιγ	[unread]	[unread]	[unread]	[unread]	13	6;05[pred_flat]	15[pred_flat]	28[pred_flat]
Aries	ιδ	[unread]	[unread]	[unread]	[unread]	14	6;44[pred_flat]	15[pred_flat]	28[pred_flat]
Aries	ιε	[unread]	[unread]	[unread]	[unread]	15	7;24[pred_flat]	15[pred_flat]	28[pred_flat]
Aries	ιϛ	[unread]	[unread]	[unread]	[unread]	16	8;03[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	ιζ	[unread]	[unread]	[unread]	[unread]	17	8;42[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	ιη	[unread]	[unread]	[unread]	[unread]	18	9;22[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	ιθ	[unread]	[unread]	[unread]	[unread]	19	10;01[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κ	[unread]	[unread]	[unread]	[unread]	20	10;40[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κα	[unread]	[unread]	[unread]	[unread]	21	11;20[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κβ	[unread]	[unread]	[unread]	[unread]	22	11;59[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κγ	[unread]	[unread]	[unread]	[unread]	23	12;38[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κδ	[unread]	[unread]	[unread]	[unread]	24	13;18[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κε	[unread]	[unread]	[unread]	[unread]	25	13;57[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κϛ	[unread]	[unread]	[unread]	[unread]	26	14;36[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κζ	[unread]	[unread]	[unread]	[unread]	27	15;16[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κη	[unread]	[unread]	[unread]	[unread]	28	15;55[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	κθ	[unread]	[unread]	[unread]	[unread]	29	16;34[pred_flat]	16[pred_flat]	28[pred_flat]
Aries	λ	[unread]	[unread]	[unread]	[unread]	30	17;14[pred_flat]	16[pred_flat]	28[pred_flat]
# === TAURUS (ΤΑΥΡΟΣ) ===
Taurus	α	[unread]	[unread]	[unread]	[unread]	1	17;53[pred_flat]	16[pred_flat]	28[pred_flat]
Taurus	β	[unread]	[unread]	[unread]	[unread]	2	18;32[pred_flat]	16[pred_flat]	28[pred_flat]
Taurus	γ	[unread]	[unread]	[unread]	[unread]	3	19;12[pred_flat]	17[pred_flat]	28[pred_flat]
Taurus	δ	[unread]	[unread]	[unread]	[unread]	4	19;51[pred_flat]	17[pred_flat]	28[pred_flat]
Taurus	ε	[unread]	[unread]	[unread]	[unread]	5	20;30[pred_flat]	17[pred_flat]	28[pred_flat]
Taurus	ϛ	[unread]	[unread]	[unread]	[unread]	6	21;10[pred_flat]	17[pred_flat]	29[pred_flat]
Taurus	ζ	[unread]	[unread]	[unread]	[unread]	7	21;49[pred_flat]	17[pred_flat]	29[pred_flat]
Taurus	η	[unread]	[unread]	[unread]	[unread]	8	22;28[pred_flat]	17[pred_flat]	29[pred_flat]
Taurus	θ	[unread]	[unread]	[unread]	[unread]	9	23;08[pred_flat]	17[pred_flat]	29[pred_flat]
Taurus	ι	[unread]	[unread]	[unread]	[unread]	10	23;47[pred_flat]	17[pred_flat]	29[pred_flat]
Taurus	ια	[unread]	[unread]	[unread]	[unread]	11	24;26[pred_flat]	17[pred_flat]	29[pred_flat]
Taurus	ιβ	[unread]	[unread]	[unread]	[unread]	12	25;06[pred_flat]	17[pred_flat]	29[pred_flat]
Taurus	ιγ	[unread]	[unread]	[unread]	[unread]	13	25;45[pred_flat]	17[pred_flat]	29[pred_flat]
Taurus	ιδ	[unread]	[unread]	[unread]	[unread]	14	26;24[pred_flat]	17[pred_flat]	29[pred_flat]
