# Vat.gr.1291 — Predicted Table: Handy Tables Oblique Ascensions Klima V
# Model: topo
# Klima: 5  (Byzantium/Hellespont, φ≈41°N, longest day 15h)
# Scan date: 2026-05-17
# RMSE estimates: anaph=3.390°  hour=0.350h  chron=11.8min
# STATUS: ALL VALUES ARE MODEL PREDICTIONS — verify against manuscript images
# Uncertain cells in actual transcriptions should be compared to these predictions
# Column *_raw: [unread] — Greek numeral not yet read from image
# Column *_dec: [pred_topo] — predicted decimal value
#
sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
# === ARIES (ΚΡΙΟΣ) ===
Aries	α	[unread]	[unread]	[unread]	[unread]	1	82;44[pred_topo]	16[pred_topo]	11[pred_topo]
Aries	β	[unread]	[unread]	[unread]	[unread]	2	9;21[pred_topo]	15[pred_topo]	7[pred_topo]
Aries	γ	[unread]	[unread]	[unread]	[unread]	3	3;23[pred_topo]	15[pred_topo]	12[pred_topo]
Aries	δ	[unread]	[unread]	[unread]	[unread]	4	2;16[pred_topo]	15[pred_topo]	16[pred_topo]
Aries	ε	[unread]	[unread]	[unread]	[unread]	5	2;28[pred_topo]	15[pred_topo]	20[pred_topo]
Aries	ϛ	[unread]	[unread]	[unread]	[unread]	6	2;47[pred_topo]	15[pred_topo]	24[pred_topo]
Aries	ζ	[unread]	[unread]	[unread]	[unread]	7	3;12[pred_topo]	15[pred_topo]	28[pred_topo]
Aries	η	[unread]	[unread]	[unread]	[unread]	8	3;43[pred_topo]	15[pred_topo]	31[pred_topo]
Aries	θ	[unread]	[unread]	[unread]	[unread]	9	4;19[pred_topo]	15[pred_topo]	35[pred_topo]
Aries	ι	[unread]	[unread]	[unread]	[unread]	10	4;59[pred_topo]	15[pred_topo]	38[pred_topo]
Aries	ια	[unread]	[unread]	[unread]	[unread]	11	5;42[pred_topo]	15[pred_topo]	42[pred_topo]
Aries	ιβ	[unread]	[unread]	[unread]	[unread]	12	6;28[pred_topo]	15[pred_topo]	45[pred_topo]
Aries	ιγ	[unread]	[unread]	[unread]	[unread]	13	7;16[pred_topo]	15[pred_topo]	47[pred_topo]
Aries	ιδ	[unread]	[unread]	[unread]	[unread]	14	8;09[pred_topo]	15[pred_topo]	50[pred_topo]
Aries	ιε	[unread]	[unread]	[unread]	[unread]	15	8;54[pred_topo]	15[pred_topo]	38[pred_topo]
Aries	ιϛ	[unread]	[unread]	[unread]	[unread]	16	7;38[pred_topo]	16[pred_topo]	18[pred_topo]
Aries	ιζ	[unread]	[unread]	[unread]	[unread]	17	7;21[pred_topo]	16[pred_topo]	5[pred_topo]
Aries	ιη	[unread]	[unread]	[unread]	[unread]	18	6;48[pred_topo]	16[pred_topo]	7[pred_topo]
Aries	ιθ	[unread]	[unread]	[unread]	[unread]	19	7;28[pred_topo]	16[pred_topo]	11[pred_topo]
Aries	κ	[unread]	[unread]	[unread]	[unread]	20	9;05[pred_topo]	16[pred_topo]	16[pred_topo]
Aries	κα	[unread]	[unread]	[unread]	[unread]	21	10;33[pred_topo]	16[pred_topo]	20[pred_topo]
Aries	κβ	[unread]	[unread]	[unread]	[unread]	22	11;52[pred_topo]	16[pred_topo]	24[pred_topo]
Aries	κγ	[unread]	[unread]	[unread]	[unread]	23	13;03[pred_topo]	16[pred_topo]	26[pred_topo]
Aries	κδ	[unread]	[unread]	[unread]	[unread]	24	13;45[pred_topo]	16[pred_topo]	31[pred_topo]
Aries	κε	[unread]	[unread]	[unread]	[unread]	25	14;31[pred_topo]	16[pred_topo]	35[pred_topo]
Aries	κϛ	[unread]	[unread]	[unread]	[unread]	26	15;21[pred_topo]	16[pred_topo]	39[pred_topo]
Aries	κζ	[unread]	[unread]	[unread]	[unread]	27	16;07[pred_topo]	16[pred_topo]	43[pred_topo]
Aries	κη	[unread]	[unread]	[unread]	[unread]	28	16;49[pred_topo]	16[pred_topo]	46[pred_topo]
Aries	κθ	[unread]	[unread]	[unread]	[unread]	29	17;27[pred_topo]	16[pred_topo]	48[pred_topo]
Aries	λ	[unread]	[unread]	[unread]	[unread]	30	18;01[pred_topo]	16[pred_topo]	49[pred_topo]
# === TAURUS (ΤΑΥΡΟΣ) ===
Taurus	α	[unread]	[unread]	[unread]	[unread]	1	18;29[pred_topo]	16[pred_topo]	50[pred_topo]
Taurus	β	[unread]	[unread]	[unread]	[unread]	2	21;42[pred_topo]	16[pred_topo]	39[pred_topo]
Taurus	γ	[unread]	[unread]	[unread]	[unread]	3	17;31[pred_topo]	17[pred_topo]	23[pred_topo]
Taurus	δ	[unread]	[unread]	[unread]	[unread]	4	13;17[pred_topo]	17[pred_topo]	6[pred_topo]
Taurus	ε	[unread]	[unread]	[unread]	[unread]	5	14;56[pred_topo]	17[pred_topo]	8[pred_topo]
Taurus	ϛ	[unread]	[unread]	[unread]	[unread]	6	17;26[pred_topo]	17[pred_topo]	12[pred_topo]
Taurus	ζ	[unread]	[unread]	[unread]	[unread]	7	19;57[pred_topo]	17[pred_topo]	16[pred_topo]
Taurus	η	[unread]	[unread]	[unread]	[unread]	8	22;29[pred_topo]	17[pred_topo]	20[pred_topo]
Taurus	θ	[unread]	[unread]	[unread]	[unread]	9	25;01[pred_topo]	17[pred_topo]	23[pred_topo]
Taurus	ι	[unread]	[unread]	[unread]	[unread]	10	27;33[pred_topo]	17[pred_topo]	27[pred_topo]
Taurus	ια	[unread]	[unread]	[unread]	[unread]	11	30;04[pred_topo]	17[pred_topo]	30[pred_topo]
Taurus	ιβ	[unread]	[unread]	[unread]	[unread]	12	31;13[pred_topo]	17[pred_topo]	33[pred_topo]
Taurus	ιγ	[unread]	[unread]	[unread]	[unread]	13	30;25[pred_topo]	17[pred_topo]	37[pred_topo]
Taurus	ιδ	[unread]	[unread]	[unread]	[unread]	14	29;30[pred_topo]	17[pred_topo]	42[pred_topo]
Taurus	ιε	[unread]	[unread]	[unread]	[unread]	15	28;30[pred_topo]	17[pred_topo]	45[pred_topo]
Taurus	ιϛ	[unread]	[unread]	[unread]	[unread]	16	27;23[pred_topo]	17[pred_topo]	49[pred_topo]
Taurus	ιζ	[unread]	[unread]	[unread]	[unread]	17	26;19[pred_topo]	17[pred_topo]	52[pred_topo]
Taurus	ιη	[unread]	[unread]	[unread]	[unread]	18	25;38[pred_topo]	17[pred_topo]	54[pred_topo]
Taurus	ιθ	[unread]	[unread]	[unread]	[unread]	19	25;01[pred_topo]	17[pred_topo]	30[pred_topo]
Taurus	κ	[unread]	[unread]	[unread]	[unread]	20	27;05[pred_topo]	18[pred_topo]	5[pred_topo]
Taurus	κα	[unread]	[unread]	[unread]	[unread]	21	28;07[pred_topo]	18[pred_topo]	7[pred_topo]
Taurus	κβ	[unread]	[unread]	[unread]	[unread]	22	29;34[pred_topo]	18[pred_topo]	11[pred_topo]
Taurus	κγ	[unread]	[unread]	[unread]	[unread]	23	30;58[pred_topo]	18[pred_topo]	14[pred_topo]
Taurus	κδ	[unread]	[unread]	[unread]	[unread]	24	32;19[pred_topo]	18[pred_topo]	17[pred_topo]
Taurus	κε	[unread]	[unread]	[unread]	[unread]	25	33;35[pred_topo]	18[pred_topo]	21[pred_topo]
Taurus	κϛ	[unread]	[unread]	[unread]	[unread]	26	34;47[pred_topo]	18[pred_topo]	25[pred_topo]
