# Vat.gr.211 — Predicted Table: Handy Tables Oblique Ascensions Klima V
# Model: ensemble
# Klima: 5  (Byzantium/Hellespont, φ≈41°N, longest day 15h)
# Scan date: 2026-05-17
# RMSE estimates: anaph=0.800°  hour=0.350h  chron=11.8min
# STATUS: ALL VALUES ARE MODEL PREDICTIONS — verify against manuscript images
# Uncertain cells in actual transcriptions should be compared to these predictions
# Column *_raw: [unread] — Greek numeral not yet read from image
# Column *_dec: [pred_ensemble] — predicted decimal value
#
sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
# === ARIES (ΚΡΙΟΣ) ===
Aries	α	[unread]	[unread]	[unread]	[unread]	1	1;27[pred_flat]	16[pred_topo]	11[pred_topo]
Aries	β	[unread]	[unread]	[unread]	[unread]	2	1;49[pred_flat]	15[pred_topo]	7[pred_topo]
Aries	γ	[unread]	[unread]	[unread]	[unread]	3	2;11[pred_flat]	15[pred_topo]	12[pred_topo]
Aries	δ	[unread]	[unread]	[unread]	[unread]	4	2;34[pred_flat]	15[pred_topo]	16[pred_topo]
Aries	ε	[unread]	[unread]	[unread]	[unread]	5	2;56[pred_flat]	15[pred_topo]	20[pred_topo]
Aries	ϛ	[unread]	[unread]	[unread]	[unread]	6	3;18[pred_flat]	15[pred_topo]	24[pred_topo]
Aries	ζ	[unread]	[unread]	[unread]	[unread]	7	3;41[pred_flat]	15[pred_topo]	28[pred_topo]
Aries	η	[unread]	[unread]	[unread]	[unread]	8	4;03[pred_flat]	15[pred_topo]	31[pred_topo]
Aries	θ	[unread]	[unread]	[unread]	[unread]	9	4;25[pred_flat]	15[pred_topo]	35[pred_topo]
Aries	ι	[unread]	[unread]	[unread]	[unread]	10	4;48[pred_flat]	15[pred_topo]	38[pred_topo]
Aries	ια	[unread]	[unread]	[unread]	[unread]	11	5;10[pred_flat]	15[pred_topo]	42[pred_topo]
Aries	ιβ	[unread]	[unread]	[unread]	[unread]	12	5;32[pred_flat]	15[pred_topo]	45[pred_topo]
Aries	ιγ	[unread]	[unread]	[unread]	[unread]	13	6;05[pred_flat]	15[pred_topo]	47[pred_topo]
Aries	ιδ	[unread]	[unread]	[unread]	[unread]	14	6;44[pred_flat]	15[pred_topo]	50[pred_topo]
Aries	ιε	[unread]	[unread]	[unread]	[unread]	15	7;24[pred_flat]	15[pred_topo]	38[pred_topo]
Aries	ιϛ	[unread]	[unread]	[unread]	[unread]	16	8;03[pred_flat]	16[pred_topo]	18[pred_topo]
Aries	ιζ	[unread]	[unread]	[unread]	[unread]	17	8;42[pred_flat]	16[pred_topo]	5[pred_topo]
Aries	ιη	[unread]	[unread]	[unread]	[unread]	18	9;22[pred_flat]	16[pred_topo]	7[pred_topo]
Aries	ιθ	[unread]	[unread]	[unread]	[unread]	19	10;01[pred_flat]	16[pred_topo]	11[pred_topo]
Aries	κ	[unread]	[unread]	[unread]	[unread]	20	10;40[pred_flat]	16[pred_topo]	16[pred_topo]
Aries	κα	[unread]	[unread]	[unread]	[unread]	21	11;20[pred_flat]	16[pred_topo]	20[pred_topo]
Aries	κβ	[unread]	[unread]	[unread]	[unread]	22	11;59[pred_flat]	16[pred_topo]	24[pred_topo]
Aries	κγ	[unread]	[unread]	[unread]	[unread]	23	12;38[pred_flat]	16[pred_topo]	26[pred_topo]
Aries	κδ	[unread]	[unread]	[unread]	[unread]	24	13;18[pred_flat]	16[pred_topo]	31[pred_topo]
Aries	κε	[unread]	[unread]	[unread]	[unread]	25	13;57[pred_flat]	16[pred_topo]	35[pred_topo]
Aries	κϛ	[unread]	[unread]	[unread]	[unread]	26	14;36[pred_flat]	16[pred_topo]	39[pred_topo]
Aries	κζ	[unread]	[unread]	[unread]	[unread]	27	15;16[pred_flat]	16[pred_topo]	43[pred_topo]
Aries	κη	[unread]	[unread]	[unread]	[unread]	28	15;55[pred_flat]	16[pred_topo]	46[pred_topo]
Aries	κθ	[unread]	[unread]	[unread]	[unread]	29	16;34[pred_flat]	16[pred_topo]	48[pred_topo]
Aries	λ	[unread]	[unread]	[unread]	[unread]	30	17;14[pred_flat]	16[pred_topo]	49[pred_topo]
# === TAURUS (ΤΑΥΡΟΣ) ===
Taurus	α	[unread]	[unread]	[unread]	[unread]	1	17;53[pred_flat]	16[pred_topo]	50[pred_topo]
Taurus	β	[unread]	[unread]	[unread]	[unread]	2	18;32[pred_flat]	16[pred_topo]	39[pred_topo]
Taurus	γ	[unread]	[unread]	[unread]	[unread]	3	19;12[pred_flat]	17[pred_topo]	23[pred_topo]
Taurus	δ	[unread]	[unread]	[unread]	[unread]	4	19;51[pred_flat]	17[pred_topo]	6[pred_topo]
Taurus	ε	[unread]	[unread]	[unread]	[unread]	5	20;30[pred_flat]	17[pred_topo]	8[pred_topo]
Taurus	ϛ	[unread]	[unread]	[unread]	[unread]	6	21;10[pred_flat]	17[pred_topo]	12[pred_topo]
Taurus	ζ	[unread]	[unread]	[unread]	[unread]	7	21;49[pred_flat]	17[pred_topo]	16[pred_topo]
Taurus	η	[unread]	[unread]	[unread]	[unread]	8	22;28[pred_flat]	17[pred_topo]	20[pred_topo]
Taurus	θ	[unread]	[unread]	[unread]	[unread]	9	23;08[pred_flat]	17[pred_topo]	23[pred_topo]
Taurus	ι	[unread]	[unread]	[unread]	[unread]	10	23;47[pred_flat]	17[pred_topo]	27[pred_topo]
Taurus	ια	[unread]	[unread]	[unread]	[unread]	11	24;26[pred_flat]	17[pred_topo]	30[pred_topo]
Taurus	ιβ	[unread]	[unread]	[unread]	[unread]	12	25;06[pred_flat]	17[pred_topo]	33[pred_topo]
Taurus	ιγ	[unread]	[unread]	[unread]	[unread]	13	25;45[pred_flat]	17[pred_topo]	37[pred_topo]
Taurus	ιδ	[unread]	[unread]	[unread]	[unread]	14	26;24[pred_flat]	17[pred_topo]	42[pred_topo]
Taurus	ιε	[unread]	[unread]	[unread]	[unread]	15	27;04[pred_flat]	17[pred_topo]	45[pred_topo]
Taurus	ιϛ	[unread]	[unread]	[unread]	[unread]	16	27;43[pred_flat]	17[pred_topo]	49[pred_topo]
Taurus	ιζ	[unread]	[unread]	[unread]	[unread]	17	28;22[pred_flat]	17[pred_topo]	52[pred_topo]
Taurus	ιη	[unread]	[unread]	[unread]	[unread]	18	29;02[pred_flat]	17[pred_topo]	54[pred_topo]
Taurus	ιθ	[unread]	[unread]	[unread]	[unread]	19	29;41[pred_flat]	17[pred_topo]	30[pred_topo]
Taurus	κ	[unread]	[unread]	[unread]	[unread]	20	30;20[pred_flat]	18[pred_topo]	5[pred_topo]
Taurus	κα	[unread]	[unread]	[unread]	[unread]	21	31;00[pred_flat]	18[pred_topo]	7[pred_topo]
Taurus	κβ	[unread]	[unread]	[unread]	[unread]	22	31;39[pred_flat]	18[pred_topo]	11[pred_topo]
Taurus	κγ	[unread]	[unread]	[unread]	[unread]	23	32;18[pred_flat]	18[pred_topo]	14[pred_topo]
Taurus	κδ	[unread]	[unread]	[unread]	[unread]	24	32;57[pred_flat]	18[pred_topo]	17[pred_topo]
Taurus	κε	[unread]	[unread]	[unread]	[unread]	25	33;37[pred_flat]	18[pred_topo]	21[pred_topo]
Taurus	κϛ	[unread]	[unread]	[unread]	[unread]	26	34;16[pred_flat]	18[pred_topo]	25[pred_topo]
Taurus	κζ	[unread]	[unread]	[unread]	[unread]	27	34;55[pred_flat]	18[pred_topo]	28[pred_topo]
Taurus	κη	[unread]	[unread]	[unread]	[unread]	28	35;35[pred_flat]	18[pred_topo]	32[pred_topo]
Taurus	κθ	[unread]	[unread]	[unread]	[unread]	29	36;14[pred_flat]	18[pred_topo]	36[pred_topo]
Taurus	λ	[unread]	[unread]	[unread]	[unread]	30	36;53[pred_flat]	18[pred_topo]	40[pred_topo]
# === GEMINI (ΔΙΔΥΜΟΙ) ===
Gemini	α	[unread]	[unread]	[unread]	[unread]	1	37;33[pred_flat]	18[pred_topo]	44[pred_topo]
Gemini	β	[unread]	[unread]	[unread]	[unread]	2	38;12[pred_flat]	18[pred_topo]	48[pred_topo]
Gemini	γ	[unread]	[unread]	[unread]	[unread]	3	38;51[pred_flat]	18[pred_topo]	50[pred_topo]
Gemini	δ	[unread]	[unread]	[unread]	[unread]	4	39;31[pred_flat]	18[pred_topo]	33[pred_topo]
Gemini	ε	[unread]	[unread]	[unread]	[unread]	5	40;10[pred_flat]	19[pred_topo]	17[pred_topo]
Gemini	ϛ	[unread]	[unread]	[unread]	[unread]	6	40;49[pred_flat]	19[pred_topo]	2[pred_topo]
