# Vat.gr.1291, f.6r — Ptolemy, Handy Tables: Oblique Ascensions for Klima V (Byzantion, longest day = 15h)
# Header: ΚΛΙΜΑΤΟΣ ΔΙΑ ΒΥΖΑΝΤΙΟΥ ΠΑΡΑΛΛΗΛΟΥ ὧ ἴση ἡ μεγίστη ἡμέρα ιε ...
# This folio contains across the opening: ΠΑΡΘΕΝΟΥ (Virgo, end), ΖΥΓΟΥ (Libra), ΣΚΟΡΠΙΟΥ (Scorpio), ΤΟΞΟΤΟΥ (Sagittarius)
# Note: Virgo column is partially visible on the right edge of image 3 (5v right side)
# Values are CUMULATIVE from start of Aries (vernal equinox)

sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
# === ΠΑΡΘΕΝΟΥ (Virgo) — visible on right edge of image 3 (5v right) ===
# Note: I can only see the Anaphorai column clearly; other columns partially obscured
Virgo	α	ρη	μϛ	ιη[?]	ō[?]	1	108;46	18[?]	0[?]
Virgo	β	ρθ	λβ	ιη[?]	νϛ[?]	2	109;32	18[?]	56[?]
Virgo	γ	ρι	ιη	ιη[?]	νγ[?]	3	110;18	18[?]	53[?]
Virgo	δ	ρια	γ	ιη	ν	4	111;3	18	50
Virgo	ε	ρια	μθ	ιη	μϛ[?]	5	111;49	18	46[?]
Virgo	ϛ	ριβ	λε	ιη	μγ	6	112;35	18	43
Virgo	ζ	ριγ	κ	ιη	λθ	7	113;20	18	39
Virgo	η	ριδ	ε[?]	ιη	λϛ	8	114;5[?]	18	36
Virgo	θ	ριδ	να	ιη	λβ	9	114;51	18	32
Virgo	ι	ριε	λϛ	ιη	κη	10	115;36	18	28
Virgo	ια	ριϛ	κα	ιη	κδ	11	116;21	18	24
Virgo	ιβ	ριζ	ϛ	ιη	κ	12	117;6	18	20
Virgo	ιγ	ριζ	να	ιη	ιϛ	13	117;51	18	16
Virgo	ιδ	ριη	λϛ	ιη	ιβ	14	118;36	18	12
Virgo	ιε	ριθ	κα	ιη	η	15	119;21	18	8
Virgo	ιϛ	ρκ	ϛ	ιη	γ[?]	16	120;6	18	3[?]
