# Vat.gr.1291, f.6v — Ptolemy, Handy Tables: Oblique Ascensions for Klima V (Byzantion, longest day = 15h)
# Last 3 signs of the zodiac: ΑΙΓΟΚΕΡΩ (Capricorn), ὙΔΡΗΧΟΟΥ (Aquarius), ἸΧΘΥΩΝ (Pisces)
# Values continue cumulatively from end of Sagittarius (201;59° on f.6r)
# Expected end-of-Pisces value: 360° (full celestial sphere rotation)

sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
# === ΑΙΓΟΚΕΡΩ (Capricorn) — folio 6v left arch ===
Capricorn	α	σβ	νβ	ιϛ	ιε	1	202;52	16	15
Capricorn	β	σγ	με	ιϛ	ιη	2	203;45	16	18
Capricorn	γ	σδ	λη	ιϛ	κα	3	204;38	16	21
Capricorn	δ	σε	λα	ιϛ	κδ	4	205;31	16	24
Capricorn	ε	σϛ	κδ	ιϛ	κζ[?]	5	206;24	16	27[?]
Capricorn	ϛ	σζ	ιζ	ιϛ	λ[?]	6	207;17	16	30[?]
Capricorn	ζ	ση	ι	ιϛ	λγ[?]	7	208;10	16	33[?]
Capricorn	η	σθ	γ	ιϛ	λϛ	8	209;3	16	36
Capricorn	θ	σθ	νζ[?]	ιϛ	λη	9	209;57[?]	16	38
Capricorn	ι	σι	να	ιϛ	μ	10	210;51	16	40
Capricorn	ια	σια	με	ιϛ	μγ	11	211;45	16	43
Capricorn	ιβ	σιβ	λθ[?]	ιϛ	μϛ[?]	12	212;39[?]	16	46[?]
Capricorn	ιγ	σιγ	λδ	ιϛ	μη	13	213;34	16	48
Capricorn	ιδ	σιδ	κη	ιϛ	να	14	214;28	16	51
Capricorn	ιε	σιε	κβ	ιϛ	νγ	15	215;22	16	53
Capricorn	ιϛ	σιϛ	ιζ	ιϛ	νε	16	216;17	16	55
Capricorn	ιζ	σιζ	ια	ιϛ	νζ[?]	17	217;11	16	57[?]
Capricorn	ιη	σιη	ϛ	ιζ	ō	18	218;6	17	0
Capricorn	ιθ	σιθ	ō	ιζ	β	19	219;0	17	2
Capricorn	κ	σιθ	νε	ιζ	δ	20	219;55	17	4
Capricorn	κα	σκ	μθ	ιζ	ζ	21	220;49	17	7
Capricorn	κβ	σκα	μδ	ιζ	θ	22	221;44	17	9
Capricorn	κγ	σκβ	λη	ιζ	ια	23	222;38	17	11
Capricorn	κδ	σκγ	λγ	ιζ	ιγ	24	223;33	17	13
Capricorn	κε	σκδ	κζ	ιζ	ιε	25	224;27	17	15
Capricorn	κϛ	σκε	κβ	ιζ	ιζ	26	225;22	17	17
Capricorn	κζ	σκϛ	ιϛ	ιζ	ιθ	27	226;16	17	19
Capricorn	κη	σκζ	ι[?]	ιζ	κα	28	227;10[?]	17	21
Capricorn	κθ	σκη	ε	ιζ	κγ	29	228;5	17	23
Capricorn	λ	σκη	νθ	ιζ	κε	30	228;59	17	25

# === ὙΔΡΗΧΟΟΥ (Aquarius) — folio 6v middle arch ===
Aquarius	α	σκθ	νδ	ιζ	κζ[?]	1	229;54	17	27[?]
Aquarius	β	σλ	μθ	ιζ	κθ	2	230;49	17	29
Aquarius	γ	σλα	μδ	ιζ	λα	3	231;44	17	31
Aquarius	δ	σλβ	λθ	ιζ	λγ	4	232;39	17	33
Aquarius	ε	σλγ	λδ	ιζ	λε	5	233;34	17	35
