dataset,domain,n_samples,n_features,n_classes,accuracy,tdi_vr_h0,tdi_vr_h1,tdi_alpha_h0,tdi_alpha_h1,tdi_random_label,signal_ratio,input_entropy_h0,input_entropy_h1,input_knn_purity,final_knn_purity,purity_gain
,,,,,,,,,,,,,,,,
wine,biology,178,13,3,0.9777777777777777,375.59591036756865,39.33302210815994,375.59591036756865,39.33302210815994,215.1741907596588,0.5728874698052046,5.1420931034012,4.337509461148448,0.9382022471910112,0.9629213483146066,0.024719101123595433
iris,biology,150,4,3,1.0,181.78929885827904,16.367311875948875,181.78929885827904,16.367311875948875,155.12534955758196,0.8533249785979756,4.874038343022583,3.2304747297497833,0.9293333333333332,0.9066666666666666,-0.022666666666666613
breast_cancer,biology,569,30,2,0.972027972027972,465.9060216350708,66.08929506402164,359.5844927708034,45.92604659822732,98.69842137281037,0.2118419097191186,5.8855369116906235,5.2307627232958875,0.9495,0.9725,0.02300000000000002
digits,biology,1797,64,10,0.9866666666666667,1283.3648681760187,98.86293543459777,969.9448225761058,76.3162247954463,1006.3770620213644,0.7841706493428303,5.888147754250401,5.1346738167698565,0.8710000000000001,0.9655000000000001,0.09450000000000003
swiss_roll,synthetic,500,3,2,1.0,307.78133589829645,61.96010072908567,274.0118780235622,57.674704728818476,192.81281595425503,0.6264603907560148,5.864467809199133,4.366756605903767,0.935,0.9440000000000001,0.009000000000000008
two_moons,synthetic,500,2,2,0.976,113.9457855021822,13.529940136591318,103.7388955985443,12.180027352990415,110.46971894086076,0.9694936802971543,5.824466682682806,3.771022042731745,0.9845,0.985,0.0004999999999999449
two_circles,synthetic,500,2,2,1.0,95.0337125762331,19.19210459678652,79.35830676181754,18.85043965644303,92.10721556926175,0.9692056962983131,5.836976879046555,2.668223688414796,1.0,1.0,0.0
blobs_2d,synthetic,500,2,4,0.912,176.64385568984423,24.58272827638792,149.3653018528537,16.083109988756576,127.55585444579937,0.7221075080571451,5.818306797005668,4.194470364004793,0.8995000000000001,0.9,0.0004999999999999449
blobs_10d,synthetic,500,10,5,1.0,427.220256382436,38.006709467999244,325.3864840487307,25.03435596989767,498.35738760069165,1.166511606496897,5.932153108953944,5.179443913879691,1.0,1.0,0.0
aniso,synthetic,500,2,3,0.92,180.78082389969038,26.314090751510886,156.73391885681608,19.74146583374078,138.71195013726515,0.7672934946586596,5.8037738745342144,4.055307833387716,0.9194999999999999,0.922,0.0025000000000001688
cmf_hunt,mathematics,2400,20,3,0.9983333333333333,341.34187506529736,52.72684513150324,257.2393812031873,34.29681820921563,217.0242360992816,0.6357972811210629,5.754337632035504,5.296269796681598,0.9775,0.9925,0.015000000000000013
ionosphere,physics,150,4,3,1.0,181.75782504798957,16.48800427901683,181.75782504798957,16.48800427901683,152.6930039259086,0.8400903998801319,4.863555684992227,3.2307616498702374,0.9293333333333332,0.9066666666666666,-0.022666666666666613
sonar,physics,208,60,2,0.8461538461538461,711.9989418611826,45.50973633046429,711.9989418611826,45.50973633046429,624.359781725627,0.8769111090158861,5.2661582793703605,4.095826272763482,0.7932692307692307,0.8913461538461538,0.09807692307692306
magic,physics,2000,10,2,0.828,388.55170025039195,62.45926889110915,302.3394018146632,39.414202638967154,389.39799859638106,1.0021780842689498,5.850401629496705,5.079138089253873,0.7345,0.7475,0.013000000000000012
waveform_5000,physics,3000,40,3,0.792,1250.779384613037,194.2261553083962,938.6150753498077,132.2466107261337,714.5069714784622,0.5712493987894712,5.986026822331839,6.0494208037749235,0.6644999999999999,0.7190000000000001,0.054500000000000215
isolet,speech,7797,617,26,0.963076923076923,6571.3039616635715,177.32176494209824,5010.412230982302,131.43468568693334,8269.652076548231,1.2584491791572385,5.976073667282101,5.228545416986431,0.5794999999999999,0.9730000000000001,0.3935000000000002
phoneme,speech,2000,5,2,0.842,371.24782598447564,48.50076519856398,307.3304511590569,36.97094464759751,324.080326696803,0.8729487528644948,5.875524995404949,4.613234634611766,0.7375,0.7354999999999999,-0.002000000000000113
shuttle,aerospace,3244,9,7,0.9741060419235512,198.6826687013697,14.963906302042677,157.0646784579308,12.080277138385027,151.71530605266747,0.763606141614211,4.481624899677651,3.154924202923774,0.9115000000000001,0.9159999999999999,0.0044999999999998375
climate_model,engineering,2000,9,2,0.598,251.73135552882482,46.90028120302952,197.58774702248655,41.73816540420733,236.58356684940833,0.9398255785514095,5.449521355470706,4.640364183004735,0.53,0.528,-0.0020000000000000018
APSFailure,engineering,2000,170,2,0.944,1483.000620798374,32.54579322783418,1134.2920828940312,24.37226829978184,1362.310484447545,0.9186176090163364,5.42278818897926,3.8072958384031277,0.8935,0.9319999999999999,0.03849999999999998
diabetes,medicine,768,8,2,0.765625,564.75887241429,65.69872846180108,447.4478046688302,51.077311103593324,561.1708625618157,0.9936468287126933,5.910784395369501,5.140695884661154,0.6759999999999999,0.6920000000000001,0.016000000000000125
wdbc,medicine,569,30,2,0.9790209790209791,521.1480545065907,64.00420697136772,410.4463126580737,48.37176405556913,90.39572767105464,0.17345498441251775,5.892280885401527,5.31298269394193,0.9345,0.9595,0.025000000000000022
blood_transfusion,medicine,748,4,2,0.8074866310160428,190.34772731302948,29.927229261984838,155.01485639346618,20.745396489606602,204.27393225421127,1.0731619186515422,5.38222466157189,4.408544160190537,0.6925,0.6919999999999998,-0.000500000000000167
breast_w,medicine,699,9,2,0.9771428571428571,463.6463459907374,70.3615239929268,377.12152296826406,54.07485571465141,405.934964334223,0.8755271509081033,5.438533668006379,4.76921638853292,0.955,0.961,0.006000000000000005
sick,medicine,1231,6,2,0.9318181818181818,304.6226438569505,41.27641173905476,249.90074890293357,33.222560533086046,284.1812200218462,0.9328959148397926,5.814733518942586,4.815490389761621,0.8975,0.9185,0.02100000000000002
hepatitis,medicine,155,6,2,0.7435897435897436,225.74263535727826,21.623791004315187,225.74263535727826,21.623791004315187,193.13723687643713,0.8555638440685464,4.894671553572787,3.8544871245704626,0.7819354838709679,0.7974193548387097,0.015483870967741842
hypothyroid,medicine,1291,6,4,0.9597523219814241,273.9963264488959,35.30539904206702,238.8872032300178,33.30958382257974,263.73891931552805,0.9625637056295315,5.8333464669657165,4.92247028347405,0.7659999999999999,0.7975,0.031500000000000083
cardiotocography,medicine,2126,35,10,1.0,865.0949587016561,63.09428609954897,660.2948694250224,43.38106577528168,385.61855217644796,0.44575286018911553,5.871818586441121,5.139665476830849,0.985,0.9984999999999999,0.013499999999999956
arrhythmia,medicine,478,6,3,0.5416666666666666,195.18003955127634,117.95790276367714,173.2359321278267,95.94296670726894,180.4955555504054,0.9247644173316548,4.688784513931903,4.647983809629732,0.431,0.4335,0.0025000000000000022
cardio2,medicine,690,6,2,0.7687861271676301,572.8884622741489,88.78761783852163,478.48209232153647,69.85516165876975,615.5254695369233,1.0744246220172105,5.875395571654898,5.056336804131224,0.6884999999999999,0.6755,-0.0129999999999999
yeast,biology,2000,11,2,0.584,321.84611679577887,73.35787203539397,263.3535120653744,54.855260502295266,298.0072050283131,0.9259307149491187,5.721497742329307,5.1137789027000995,0.5475,0.5369999999999999,-0.010500000000000065
miceprotein,biology,126,310,2,0.875,1165.953693921971,26.221321592150296,1165.953693921971,26.221321592150296,1116.9990662602017,0.9580132316429322,4.716491142999923,3.578168200935769,0.696825396825397,0.9349206349206349,0.23809523809523792
steel_plates_fault,engineering,1673,33,2,1.0,581.2066500940662,70.60653061482114,481.44643561143175,55.399694977531624,131.3708679665545,0.2260312540217711,5.85282993868422,5.0483992953530485,0.919,0.9965,0.07750000000000001
banknote,finance,1372,4,2,1.0,303.79702207025673,28.53008034429444,268.8440591162054,30.246364874454905,257.5704817691745,0.8478374146459151,5.810748450645081,4.0253853234753745,0.99,0.9890000000000001,-0.0009999999999998899
bank_marketing,finance,2000,7,2,0.798,366.59345301964925,48.94783822474366,259.0392226030002,41.77264134049689,373.3793519950342,1.0185106933020467,5.687770677982185,4.988722134000889,0.6855,0.705,0.019499999999999962
credit_g,finance,1000,7,2,0.688,358.5506145917585,77.91305266179701,283.75729474896684,64.85090943637847,379.82738159243,1.059341041779825,5.823402472794014,5.412423217043505,0.62,0.6285,0.008499999999999952
credit_approval,finance,690,6,2,0.8208092485549133,421.73413397129667,43.55801278362357,347.0726117791702,34.4667526878567,428.1045586022772,1.0151053095252047,5.604570733684837,4.816806857030603,0.6545000000000001,0.665,0.010499999999999954
adult,social,2000,6,2,0.708,286.882695764589,39.776345673287665,219.69717006656464,27.48142323786756,285.71838928434954,0.9959415241928886,5.772169575344645,4.861139219278057,0.6365,0.6395000000000001,0.0030000000000001137
churn,finance,1707,16,2,0.6604215456674473,353.13498163223267,112.05744347238844,270.72421956062317,84.01801885585886,267.69214367866516,0.7580448202592664,5.973674814275373,5.890824410240144,0.595,0.623,0.028000000000000025
Titanic,social,1075,36,2,0.9851301115241635,236.46380599969478,22.71327028467531,172.1796608010134,17.977099498515866,111.50980865955353,0.47157241755508855,5.918620406059261,4.578953056858445,0.9630000000000001,0.9675,0.0044999999999999485
contraceptive,social,1473,2,3,0.5094850948509485,117.5671298947077,19.6275161094364,98.97177723845067,16.2392455702259,120.02917490552707,1.0209416102359934,4.953804157917768,4.360341751987416,0.42400000000000004,0.4105,-0.013500000000000068
Buzzinsocialmedia,social,1023,30,2,0.99609375,536.977175718846,71.73174141486408,364.63408863451355,48.06339572300171,421.00805159911073,0.7840334201086135,5.815395845595837,5.42150523277106,0.9865,0.986,-0.000500000000000056
credit_card_default,finance,130,8,2,0.9090909090909091,120.17638139328926,12.124070556408146,120.17638139328926,12.124070556408146,100.65462381962533,0.8375574522436565,4.530740202826905,3.3346742197880856,0.8769230769230769,0.8769230769230769,0.0
kc1,software,522,21,2,0.8091603053435115,196.01118430819383,16.83780780411245,164.20156222492508,13.198754464128385,324.1536185310596,1.6537506248693639,4.7982887700470105,4.130692516956459,0.7929999999999999,0.7829999999999999,-0.010000000000000009
pc1,software,1077,21,2,0.937037037037037,189.14305174327072,25.42581903936226,159.34573126584624,20.229873104243094,211.44545328146828,1.1179128777538667,5.470968285326144,4.581373053462891,0.9165000000000001,0.914,-0.0025000000000000577
pc4,software,1178,37,2,0.8847457627118644,170.3328174165592,32.486711078428286,186.4917412293333,21.504928200622928,132.18995608095838,0.7760686289693656,5.550807436276607,4.798044216569958,0.8315,0.8504999999999999,0.018999999999999906
pc3,software,1160,37,2,0.8482758620689655,190.8726050406711,34.50361214780911,112.67930687369567,24.10340858637636,127.75004511538435,0.6692948162370572,5.5322743411649,4.870508971714962,0.8079999999999999,0.8140000000000001,0.006000000000000116
